# MODIFIED BY M. Wild: Concatenated from b4f3/Radial Means/b4f3b*_Fav.txt
#
# Jet bulk velocity 108 m/s.
#
# Mass fractions in percent, NO and NORMS multiplied by 100.
#
# X/Db 	R(mm)	ZI	ZIRMS	T(K)	TRMS	O2	N2	H2	H20	CO	CO2	C-H	OH	NOx100	TNDR	O2RMS	N2RMS	H2RMS	H20RMS	CORMS	CO2RMS	C-HRMS	OHRMS	NORMS	TNDRRMS
#
0.26	12.10	0.0660	0.0115	1952	 129	1.7250	61.3700	0.6199	14.8180	4.9510	7.2350	0.3800	0.02350	0.5166	1.1560	1.1500	3.5000	0.1548	1.6170	0.5910	1.0850	0.9810	0.02420	0.1190	0.1190
0.26	16.10	0.0630	0.0062	1976	 136	1.8230	61.0800	0.5676	14.3220	4.8720	7.0430	0.1690	0.02360	0.5407	1.1760	1.1510	3.3000	0.1337	1.4320	0.6440	1.0720	0.4480	0.01950	0.1358	0.1090
0.26	20.00	0.0631	0.0051	2000	 134	1.3380	61.6500	0.5254	14.0870	4.9010	7.0660	0.1430	0.02570	0.5577	1.1790	1.0310	2.7700	0.1302	1.4450	0.7420	1.0370	0.3430	0.02620	0.1546	0.0970
0.26	22.10	0.0600	0.0036	2029	 115	1.3880	62.0800	0.4294	13.4910	4.5740	7.0520	0.0340	0.04300	0.6053	1.1810	1.0870	3.2900	0.1199	1.2260	0.8980	0.9870	0.1040	0.04750	0.1656	0.0790
0.26	24.10	0.0481	0.0092	1906	 201	3.8450	69.5700	0.1682	11.3340	2.2610	7.6910	0.0980	0.23570	0.5919	1.0820	3.3120	3.7400	0.0868	1.6580	1.0820	1.2380	0.1250	0.06350	0.1484	0.0770
0.26	25.10	0.0159	0.0090	 966	 363	16.4360	75.8600	0.0317	4.5220	0.3450	2.7290	0.0290	0.09630	0.1479	1.0090	3.8810	1.3000	0.0302	2.2680	0.2730	2.0750	0.0540	0.06940	0.1129	0.0500
0.26	26.00	0.0039	0.0032	 427	 122	21.6550	76.6000	0.0122	1.4950	0.0830	0.2070	0.0140	0.01370	0.0169	1.0510	1.3830	0.5100	0.0119	0.7290	0.1040	0.4770	0.0250	0.02050	0.0250	0.0290
0.6	-27.30	0.0013	0.0009	 323	  19	22.7560	76.3400	0.0024	0.8840	0.0070	0.0050	0.0110	0.00560	0.0006	1.0500	0.4250	0.3600	0.0030	0.1170	0.0120	0.0380	0.0130	0.00550	0.0029	0.0100
0.6	-26.30	0.0025	0.0025	 373	  88	22.2040	76.5300	0.0028	1.1560	0.0370	0.0970	0.0090	0.00660	0.0084	1.0570	1.1110	0.4200	0.0052	0.5640	0.0560	0.3590	0.0160	0.00900	0.0185	0.0160
0.6	-25.30	0.0056	0.0045	 487	 173	20.8530	76.7800	0.0069	1.8930	0.0750	0.4370	0.0180	0.00740	0.0308	1.0580	2.0310	0.5300	0.0083	1.1090	0.0670	0.7430	0.0250	0.01700	0.0421	0.0250
0.6	-24.30	0.0127	0.0089	 782	 359	17.7440	76.6300	0.0159	3.7290	0.1500	1.7110	0.0400	0.03980	0.1102	1.0600	3.8960	0.9600	0.0211	2.2660	0.1640	1.8340	0.0560	0.05570	0.1123	0.0330
0.6	-23.30	0.0291	0.0127	1446	 443	10.5150	74.7700	0.0373	8.0700	0.5570	5.1330	0.0500	0.15210	0.3459	1.0580	5.2950	2.5300	0.0527	3.0190	0.6520	2.6150	0.0890	0.09600	0.2006	0.0420
0.6	-22.30	0.0473	0.0110	1947	 261	3.8310	70.2600	0.1361	11.7280	1.7330	7.6580	0.1360	0.21940	0.6368	1.0770	3.9410	4.2700	0.1003	2.0270	1.2660	1.6770	0.1550	0.08580	0.1952	0.0610
0.6	-21.30	0.0536	0.0067	2093	 120	1.7970	66.5200	0.1862	12.9570	2.6760	7.9290	0.1380	0.17810	0.7499	1.1160	1.9960	4.7900	0.1233	1.1220	1.3410	1.1320	0.1650	0.10260	0.1624	0.0730
0.6	-20.30	0.0565	0.0069	2108	 114	1.5190	64.2800	0.2749	13.6170	3.3280	7.5920	0.1400	0.11600	0.7349	1.1410	1.4930	4.7100	0.1343	1.1820	1.2300	1.0730	0.4410	0.10180	0.1572	0.0850
0.6	-18.20	0.0581	0.0096	2088	 141	1.8140	62.1500	0.3111	13.9600	3.7150	7.4570	0.2720	0.07760	0.7077	1.1590	1.5450	4.7200	0.1573	1.2820	1.1680	1.0710	0.7570	0.09080	0.1665	0.0950
0.6	-16.20	0.0623	0.0159	2032	 163	1.9570	61.9500	0.4083	14.4100	3.9050	7.3230	0.5820	0.06420	0.6566	1.1320	1.5420	4.5300	0.1916	1.5240	0.9840	1.0780	1.3900	0.08670	0.1634	0.1090
0.6	-14.20	0.0672	0.0230	1990	 174	1.9590	61.7900	0.4549	14.8230	4.1220	7.3560	1.0320	0.04710	0.6129	1.1170	1.6160	4.2000	0.2435	1.5450	0.8550	1.1130	2.0560	0.06700	0.1664	0.1100
0.6	-12.10	0.0779	0.0296	1912	 188	1.7290	62.5200	0.5818	14.9930	4.2300	7.1690	1.9530	0.03930	0.5515	1.0830	1.5330	4.2000	0.3011	1.5090	0.8020	1.1660	2.6840	0.06140	0.1668	0.1120
0.6	-10.10	0.0909	0.0350	1845	 169	1.5090	62.5500	0.7371	15.1970	4.4490	6.9610	3.0680	0.02490	0.5009	1.0620	1.4890	3.7400	0.3266	1.4350	0.5520	1.1240	3.2410	0.03460	0.1480	0.1030
0.6	-8.10	0.1158	0.0428	1746	 159	0.9970	62.8500	1.0244	14.8940	4.4970	6.4470	5.2750	0.01870	0.4130	1.0450	1.1190	3.1300	0.3801	1.3570	0.5750	1.1850	4.1450	0.01890	0.1226	0.0810
0.6	-6.00	0.1791	0.0580	1560	 153	0.5840	59.8600	1.6619	13.4490	4.2580	5.5110	11.3310	0.01140	0.3210	1.0850	0.7200	4.1000	0.5084	1.3400	0.4010	1.0520	5.8090	0.00880	0.0904	0.0690
0.6	-5.00	0.2523	0.0843	1374	 183	0.5380	54.7900	2.3856	11.9040	3.8650	5.0190	18.4880	0.00430	0.2384	1.1420	0.6040	6.4100	0.7669	1.6690	0.5010	1.0700	8.4360	0.00680	0.0823	0.0860
0.6	-4.00	0.3563	0.0973	1144	 178	0.7960	46.6000	3.4506	10.0220	3.2990	4.5140	28.6640	0.00070	0.1625	1.2030	0.6740	7.3300	0.9276	1.6890	0.5210	1.1280	9.6350	0.00310	0.0648	0.0830
0.6	-3.00	0.4714	0.1031	 923	 169	1.0300	37.5100	4.6649	8.0550	2.6860	4.0250	39.8500	0.00000	0.1020	1.2310	0.7200	7.7800	1.0426	1.7080	0.5540	1.1070	10.0930	0.00060	0.0446	0.0680
0.6	-1.90	0.6123	0.1037	 692	 131	1.2710	26.6600	6.1240	5.7040	1.9190	3.1200	53.5820	0.00000	0.0571	1.2070	0.7800	7.6300	1.0248	1.6250	0.5720	1.2490	10.2060	0.00000	0.0260	0.0620
0.6	-0.90	0.7362	0.0881	 537	  92	1.4230	17.3100	7.3702	3.7370	1.2290	1.9900	65.7120	0.00000	0.0330	1.1770	0.7850	6.3700	0.8967	1.4220	0.4920	1.1660	8.6820	0.00000	0.0160	0.0510
0.6	0.10	0.8091	0.0673	 464	  64	1.3480	12.0300	8.1539	2.5180	0.8310	1.3380	72.7180	0.00000	0.0213	1.1750	0.7670	4.8700	0.7322	1.1100	0.4120	0.8990	6.6170	0.00000	0.0105	0.0440
0.6	1.10	0.7613	0.0811	 518	  86	0.9760	15.9300	7.7449	3.3010	1.1400	1.8870	67.8050	0.00000	0.0289	1.2110	0.7070	5.9500	0.8666	1.3570	0.4790	1.0290	7.9480	0.00000	0.0138	0.0500
0.6	2.10	0.6465	0.0962	 661	 120	0.7380	24.5900	6.5186	5.2630	1.7430	2.7810	56.6760	0.00000	0.0509	1.2520	0.6220	6.9800	1.0291	1.6020	0.5310	1.1540	9.3230	0.00000	0.0236	0.0540
