# MODIFIED BY M. Wild: Concatenated from b4f3/Radial Means/b4f3b*_Fav.txt
#
# Jet bulk velocity 108 m/s.
#
# Mass fractions in percent, NO and NORMS multiplied by 100.
#
# X/Db 	R(mm)	ZI	ZIRMS	T(K)	TRMS	O2	N2	H2	H20	CO	CO2	C-H	OH	NOx100	TNDR	O2RMS	N2RMS	H2RMS	H20RMS	CORMS	CO2RMS	C-HRMS	OHRMS	NORMS	TNDRRMS
#
1.3	2.50	0.5008	0.0688	 852	 111	0.3230	35.3900	4.8401	8.1370	2.3240	4.0940	42.8200	0.00000	0.0860	1.2190	0.4470	5.4000	0.7673	1.2580	0.4160	0.8340	6.6480	0.00060	0.0259	0.0350
1.3	5.40	0.3995	0.0838	1036	 147	0.0980	43.8200	3.6848	9.9190	2.9420	4.3690	33.1460	0.00020	0.1259	1.2010	0.2410	6.7700	0.8743	1.4970	0.5060	0.7640	8.1770	0.00160	0.0393	0.0510
1.3	8.50	0.2889	0.0924	1258	 199	0.2120	52.8000	2.5442	11.9240	3.4900	4.8200	22.4290	0.00600	0.1773	1.1370	0.8510	7.2700	0.8532	1.6910	0.5600	1.0050	9.1070	0.03040	0.0622	0.0750
1.3	11.40	0.1724	0.0938	1509	 236	1.3590	61.4500	1.3931	13.3830	3.6740	5.6940	11.3660	0.04470	0.2548	1.0660	2.8890	6.5900	0.8500	1.8690	1.0080	1.4750	8.8840	0.08750	0.0957	0.0780
1.3	14.40	0.0717	0.0694	1588	 279	6.6150	69.4900	0.4371	11.4320	2.1600	5.7600	3.0330	0.12390	0.3004	1.0440	5.6690	6.4900	0.5879	3.4170	1.8250	1.8020	5.9010	0.12320	0.1075	0.0590
1.3	16.40	0.0376	0.0366	1469	 328	10.5100	72.9200	0.1347	9.1100	1.0850	5.1110	0.7720	0.11390	0.2770	1.0360	5.3780	4.3200	0.2810	3.4820	1.5260	1.7990	2.7420	0.11320	0.1114	0.0440
1.3	18.40	0.0220	0.0136	1252	 287	13.9620	74.9000	0.0368	6.7720	0.2900	4.0400	0.1210	0.06600	0.2340	1.0290	3.6280	1.4600	0.0877	2.2780	0.6260	1.4560	0.7760	0.08440	0.0974	0.0260
1.3	20.40	0.0153	0.0077	1006	 310	16.4490	75.4200	0.0168	5.1030	0.1150	2.9450	0.0310	0.02960	0.1578	1.0260	3.2740	0.8300	0.0250	2.0290	0.2440	1.5340	0.1240	0.05990	0.0982	0.0270
1.3	22.40	0.0085	0.0063	 691	 276	19.4680	75.8400	0.0089	3.1920	0.0550	1.4800	0.0130	0.00860	0.0790	1.0150	2.8240	0.5700	0.0129	1.6670	0.0860	1.3430	0.0540	0.02690	0.0750	0.0310
1.3	24.40	0.0027	0.0033	 406	 137	22.1240	76.0400	0.0061	1.5330	0.0200	0.2870	0.0070	0.00780	0.0181	1.0210	1.4980	0.4500	0.0077	0.8260	0.0250	0.5910	0.0180	0.03570	0.0328	0.0250
1.8	-26.00	0.0004	0.0005	 302	   4	23.2020	75.8800	0.0017	0.9020	0.0030	0.0130	0.0040	0.01840	0.0001	1.0240	0.3660	0.3600	0.0027	0.0620	0.0030	0.0220	0.0080	0.00970	0.0005	0.0090
1.8	-24.00	0.0007	0.0011	 313	  37	23.0680	75.9300	0.0034	0.9690	0.0040	0.0330	0.0020	0.00620	0.0012	1.0260	0.5670	0.3700	0.0034	0.2430	0.0080	0.1410	0.0050	0.00660	0.0072	0.0110
1.8	-21.90	0.0015	0.0020	 351	  81	22.6790	75.9800	0.0030	1.2080	0.0120	0.1240	0.0050	0.00910	0.0073	1.0260	0.9630	0.4500	0.0041	0.5180	0.0190	0.3150	0.0090	0.00770	0.0168	0.0150
1.8	-19.90	0.0038	0.0040	 458	 161	21.6290	76.0100	0.0070	1.8600	0.0360	0.4830	0.0100	0.00620	0.0239	1.0260	1.7230	0.4700	0.0118	1.0090	0.0600	0.6870	0.0490	0.01440	0.0305	0.0190
1.8	-17.90	0.0083	0.0080	 621	 249	19.8620	75.9800	0.0156	2.9230	0.1060	1.1270	0.0670	0.01160	0.0494	1.0260	2.7940	0.7000	0.0374	1.6670	0.2410	1.1500	0.3120	0.04060	0.0526	0.0220
1.8	-15.90	0.0188	0.0322	 823	 352	17.5110	75.1700	0.0828	4.4190	0.3680	1.9320	0.5410	0.03620	0.0842	1.0290	4.8150	2.7700	0.2455	2.8590	0.7690	1.6550	2.4070	0.07390	0.0759	0.0290
1.8	-13.80	0.0497	0.0690	1120	 401	12.9190	72.6600	0.2994	7.1160	1.0870	3.2300	2.4590	0.06470	0.1442	1.0410	6.7870	5.9100	0.5656	3.8860	1.3810	2.0110	5.6440	0.09980	0.1057	0.0420
1.8	-11.80	0.1145	0.1019	1345	 350	6.9000	66.8900	0.8614	10.2790	2.2970	4.4640	7.2410	0.07610	0.1927	1.0550	6.8000	8.3200	0.8893	3.7300	1.5800	1.9250	8.9030	0.11780	0.1003	0.0590
1.8	-9.80	0.2101	0.1100	1337	 249	2.5190	59.2000	1.7595	11.6280	3.1010	4.6950	15.4170	0.03640	0.1812	1.0980	4.1540	8.5100	1.0229	2.2760	1.0040	1.4100	10.1810	0.08700	0.0754	0.0700
1.8	-7.70	0.2799	0.1040	1236	 215	1.0010	53.6200	2.4610	11.4390	3.1790	4.5800	21.7830	0.01190	0.1598	1.1270	2.4510	8.0200	0.9779	1.8310	0.6580	1.0250	9.9420	0.05280	0.0571	0.0690
1.8	-5.70	0.3422	0.0775	1119	 146	0.3720	48.8200	3.0871	10.6230	2.9990	4.3900	27.6900	0.00120	0.1338	1.1640	0.7600	6.3600	0.7714	1.2920	0.4280	0.6680	7.5470	0.01460	0.0337	0.0510
1.8	-3.60	0.3808	0.0678	1048	 121	0.2940	45.3900	3.4991	10.0500	2.8380	4.4390	31.3860	0.00070	0.1234	1.1790	0.5540	5.6600	0.6944	1.1150	0.3800	0.6290	6.5910	0.01280	0.0278	0.0440
1.8	-1.60	0.4056	0.0615	1004	 105	0.2590	43.3000	3.7751	9.6950	2.7580	4.4590	33.7390	0.00000	0.1177	1.1880	0.4620	5.0700	0.6401	1.0520	0.3590	0.6700	5.9790	0.00070	0.0421	0.0330
1.8	0.40	0.4136	0.0570	 992	  98	0.2310	42.6100	3.8528	9.5580	2.7170	4.3860	34.5220	0.00000	0.1155	1.1990	0.3660	4.7300	0.6103	0.9960	0.3540	0.6240	5.5350	0.00090	0.0242	0.0320
1.8	2.40	0.4072	0.0625	 999	 107	0.3240	43.0300	3.7933	9.6300	2.7190	4.4840	33.9070	0.00010	0.1177	1.1930	0.5210	5.2100	0.6347	1.0760	0.3650	0.6970	6.1150	0.00140	0.0252	0.0380
1.8	4.40	0.3736	0.0725	1061	 139	0.3520	45.9200	3.4183	10.1650	2.8680	4.4660	30.7140	0.00080	0.1294	1.1820	0.6250	5.9300	0.7268	1.2460	0.3880	0.6720	7.0690	0.00910	0.0344	0.0430
1.8	8.40	0.2750	0.1034	1231	 213	1.1250	53.8800	2.3880	11.5270	3.1980	4.6750	21.3860	0.00940	0.1606	1.1240	2.7550	7.9900	0.9825	1.9050	0.6470	1.0530	9.8720	0.04110	0.0587	0.0730
1.8	12.40	0.1309	0.1109	1356	 326	6.2580	65.2800	0.9984	10.5490	2.5310	4.5920	8.6940	0.06410	0.1934	1.0620	6.5240	8.7800	0.9760	3.5090	1.5530	1.8710	9.8360	0.10060	0.0999	0.0680
1.8	16.40	0.0235	0.0381	 914	 354	16.5620	74.6600	0.1086	5.0510	0.5270	2.3500	0.7690	0.04010	0.1032	1.0220	5.0180	3.2800	0.3015	2.9850	1.0040	1.6910	2.9450	0.07370	0.0836	0.0320
1.8	20.40	0.0058	0.0057	 545	 223	20.7560	75.9800	0.0080	2.4210	0.0740	0.7960	0.0220	0.00900	0.0428	1.0190	2.3870	0.5500	0.0190	1.4400	0.2260	1.0170	0.0730	0.03630	0.0796	0.0250
1.8	24.40	0.0011	0.0018	 336	  79	22.8340	75.9000	0.0021	1.1620	0.0080	0.0980	0.0020	0.00310	0.0050	1.0220	0.8910	0.3900	0.0033	0.4780	0.0150	0.3100	0.0060	0.00500	0.0154	0.0150
1.8	18.40	0.0104	0.0104	 707	 255	19.1760	75.7500	0.0241	3.3990	0.1540	1.4910	0.1140	0.01630	0.0656	1.0210	2.6960	1.0100	0.0721	1.6620	0.3240	1.1720	0.6390	0.04340	0.0539	0.0260
1.8	22.40	0.0026	0.0034	 402	 135	22.1740	75.9600	0.0048	1.5560	0.0230	0.2970	0.0060	0.00470	0.0163	1.0220	1.4920	0.4100	0.0090	0.8320	0.0610	0.5590	0.0400	0.01320	0.0277	0.0180
1.8	14.50	0.0567	0.0722	1190	 422	11.8780	71.5500	0.3715	7.8430	1.3780	3.7240	2.8380	0.07770	0.1645	1.0330	7.0930	6.1800	0.6043	4.1350	1.5590	2.1990	5.9070	0.11190	0.1106	0.0470
2.4	-26.00	0.0004	0.0005	 304	  11	23.2220	75.8300	0.0010	0.9290	0.0020	0.0150	0.0030	0.00720	0.0003	1.0210	0.3670	0.3500	0.0020	0.0780	0.0030	0.0350	0.0060	0.00750	0.0023	0.0100
2.4	-25.00	0.0006	0.0011	 309	  37	23.1180	75.8900	0.0014	0.9560	0.0030	0.0300	0.0050	0.00630	0.0009	1.0200	0.5520	0.3600	0.0026	0.2410	0.0110	0.1400	0.0100	0.00690	0.0057	0.0100
2.4	-24.00	0.0006	0.0010	 315	  42	23.1220	75.8500	0.0021	0.9910	0.0050	0.0300	0.0020	0.00790	0.0013	1.0210	0.5130	0.3500	0.0032	0.2640	0.0150	0.1270	0.0090	0.00740	0.0051	0.0110
2.4	-22.00	0.0016	0.0027	 354	 107	22.6450	75.9600	0.0030	1.2350	0.0150	0.1450	0.0090	0.00480	0.0057	1.0210	1.2090	0.4200	0.0056	0.6680	0.0480	0.4350	0.0300	0.01270	0.0171	0.0130
2.4	-19.90	0.0031	0.0054	 415	 163	22.0320	75.9800	0.0066	1.6150	0.0400	0.3270	0.0290	0.00720	0.0135	1.0190	1.7810	0.5300	0.0320	1.0530	0.1310	0.6470	0.2590	0.01990	0.0280	0.0170
2.4	-17.90	0.0077	0.0175	 527	 286	20.7700	75.8200	0.0312	2.3790	0.1370	0.7160	0.1900	0.01550	0.0277	1.0220	3.4910	1.4200	0.1243	2.0970	0.4390	1.2330	1.1810	0.04710	0.0501	0.0220
2.4	-15.90	0.0190	0.0394	 701	 384	18.5440	75.0200	0.1000	3.7570	0.4220	1.3810	0.7720	0.03170	0.0545	1.0270	5.4190	3.3600	0.3022	3.2240	0.9060	1.7350	2.9660	0.07810	0.0731	0.0300
2.4	-13.80	0.0396	0.0639	 935	 483	15.1520	73.2100	0.2495	5.8380	0.9160	2.3870	1.9660	0.05000	0.0990	1.0330	7.4000	5.5900	0.5246	4.4070	1.3820	2.3070	5.0410	0.09210	0.1077	0.0410
2.4	-11.80	0.0843	0.0918	1176	 466	10.1810	69.3700	0.6084	8.5910	1.8090	3.5600	5.0990	0.07360	0.1483	1.0480	8.1770	7.7300	0.7804	4.7060	1.6640	2.4020	7.6320	0.11960	0.1156	0.0550
2.4	-9.80	0.1549	0.1105	1347	 363	4.9010	63.4600	1.2368	11.1220	2.7860	4.4490	10.6410	0.05420	0.1789	1.0760	6.5360	8.7400	0.9890	3.6680	1.4620	1.9290	9.8140	0.10760	0.1004	0.0670
2.4	-7.70	0.2064	0.1030	1363	 260	2.1960	59.2500	1.7303	12.0460	3.2460	4.8210	14.9420	0.03010	0.1809	1.0930	3.8350	7.9600	0.9432	2.3790	0.9660	1.3790	9.6540	0.08090	0.0819	0.0690
2.4	-5.70	0.2575	0.0901	1277	 206	1.2260	55.4800	2.2174	11.6770	3.3610	4.6240	19.6820	0.01270	0.1660	1.1280	2.5360	6.9900	0.8288	1.7610	0.7220	0.9890	8.6290	0.05600	0.0564	0.0620
2.4	-3.70	0.2768	0.0789	1249	 176	0.7310	54.0100	2.4074	11.6040	3.2790	4.6820	21.4410	0.00740	0.1602	1.1350	1.4430	6.2900	0.7384	1.4050	0.5420	0.8210	7.6700	0.04260	0.0496	0.0570
2.4	-1.60	0.3012	0.0666	1197	 141	0.6240	51.9500	2.6653	11.2140	3.2490	4.6400	23.7580	0.00150	0.1511	1.1520	1.1410	5.3900	0.6250	1.2160	0.4670	0.6460	6.5240	0.01140	0.0403	0.0490
2.4	0.40	0.3047	0.0681	1188	 135	0.6480	51.6600	2.6991	11.1800	3.2740	4.6230	24.1010	0.00170	0.1487	1.1520	1.0620	5.6100	0.6300	1.2090	0.4710	0.6600	6.6860	0.01600	0.0355	0.0490
2.4	2.40	0.2906	0.0752	1222	 163	0.7260	52.8400	2.5614	11.4080	3.3360	4.5850	22.7520	0.00430	0.1542	1.1460	1.2470	6.0100	0.6914	1.4270	0.5030	0.7120	7.3790	0.02790	0.0419	0.0570
2.4	4.40	0.2777	0.0811	1247	 177	0.7740	53.9400	2.4235	11.6110	3.3180	4.6220	21.5220	0.00590	0.1552	1.1370	1.2940	6.3700	0.7510	1.4670	0.5300	0.7720	7.9080	0.03560	0.0524	0.0600
