# CREATED BY M. WILD: Concatenated from original data, added x/d column
# Sandia piloted CH4-air jet flame D (1997)
# Profile of Favre average mass fractions
# x/d    r/d    F       Frms    T(K)   Trms   YO2       YO2rms    YN2       YN2rms    YH2       YH2rms    YH2O      YH2Orms   YCH4      YCH4rms   YCO       YCOrms    YCO2      YCO2rms   YOH       YOHrms    YNO       YNOrms    YCOLIF    YCOrms
  1.0   1.90  0.0000  0.0010   300.     8.  2.31E-01  4.04E-03  7.63E-01  4.09E-03  5.86E-06  6.14E-06  6.03E-03  4.82E-04  2.74E-06  6.09E-05  0.00E+00  3.91E-04  0.00E+00  3.62E-04  1.25E-09  1.15E-07  1.38E-07  1.25E-07  2.63E-05  4.26E-05
  2.0  -0.67  0.5772  0.1111  1621.   275.  5.99E-02  3.78E-02  6.91E-01  2.15E-02  1.34E-03  4.01E-04  8.54E-02  2.17E-02  4.48E-02  2.65E-02  3.07E-02  9.78E-03  8.80E-02  1.98E-02  7.45E-04  6.24E-04  2.15E-05  7.76E-06  2.85E-02  7.48E-03
  2.0  -0.60  0.7452  0.0844  1026.   322.  1.33E-01  4.04E-02  6.67E-01  1.35E-02  9.50E-04  4.49E-04  4.38E-02  2.16E-02  9.19E-02  2.47E-02  1.78E-02  1.18E-02  4.69E-02  2.40E-02  1.06E-04  1.37E-04  8.95E-06  5.29E-06  1.66E-02  9.49E-03
  2.0  -0.53  0.8334  0.0836   649.   221.  1.70E-01  2.38E-02  6.61E-01  1.10E-02  4.39E-04  3.05E-04  2.15E-02  1.31E-02  1.19E-01  1.96E-02  5.95E-03  6.97E-03  2.11E-02  1.53E-02  1.59E-05  3.58E-05  3.73E-06  2.46E-06  6.76E-03  5.44E-03
  2.0  -0.46  0.9221  0.0687   422.   114.  1.89E-01  1.06E-02  6.53E-01  8.72E-03  1.30E-04  1.25E-04  8.20E-03  6.65E-03  1.40E-01  1.37E-02  4.04E-04  2.43E-03  6.50E-03  7.10E-03  0.00E+00  7.25E-06  1.30E-06  1.04E-06  2.14E-03  1.98E-03
  2.0  -0.39  0.9685  0.0454   334.    44.  1.95E-01  5.57E-03  6.50E-01  6.93E-03  3.82E-05  4.39E-05  3.06E-03  2.63E-03  1.50E-01  7.83E-03  0.00E+00  1.17E-03  1.67E-03  2.41E-03  0.00E+00  1.00E-06  5.15E-07  4.41E-07  6.35E-04  8.20E-04
  2.0  -0.32  0.9878  0.0381   303.    18.  1.96E-01  4.28E-03  6.49E-01  6.17E-03  1.25E-05  2.13E-05  1.20E-03  1.10E-03  1.54E-01  6.08E-03  0.00E+00  9.90E-04  1.98E-04  1.20E-03  0.00E+00  8.35E-07  1.89E-07  1.85E-07  1.61E-04  2.69E-04
  2.0   0.11  0.9974  0.0312   290.     3.  1.95E-01  4.44E-03  6.49E-01  5.10E-03  2.50E-06  1.25E-05  4.88E-04  1.53E-04  1.56E-01  4.84E-03  5.83E-05  8.48E-04  0.00E+00  7.64E-04  1.78E-07  6.70E-07  8.81E-08  9.08E-08  2.43E-05  6.14E-05
  2.0   0.38  0.9910  0.0398   329.    41.  1.90E-01  7.50E-03  6.51E-01  7.41E-03  4.40E-05  5.00E-05  2.54E-03  2.51E-03  1.54E-01  6.77E-03  4.95E-04  1.15E-03  2.39E-03  3.04E-03  1.58E-07  7.76E-07  3.65E-07  3.21E-07  5.50E-04  6.15E-04
  2.0   0.44  0.9590  0.0595   421.   105.  1.78E-01  1.39E-02  6.57E-01  9.51E-03  1.80E-04  1.41E-04  8.94E-03  7.24E-03  1.45E-01  1.22E-02  2.37E-03  2.92E-03  8.78E-03  7.27E-03  2.43E-06  1.40E-05  1.16E-06  9.88E-07  2.06E-03  1.88E-03
  2.0   0.51  0.8861  0.0905   612.   204.  1.54E-01  2.55E-02  6.68E-01  1.51E-02  4.58E-04  2.77E-04  2.27E-02  1.40E-02  1.27E-01  2.09E-02  7.65E-03  6.16E-03  2.12E-02  1.40E-02  1.78E-05  2.88E-05  3.27E-06  2.51E-06  5.94E-03  4.59E-03
  2.0   0.58  0.7357  0.1184   996.   326.  1.05E-01  3.82E-02  6.93E-01  1.84E-02  9.36E-04  4.19E-04  4.93E-02  2.23E-02  8.94E-02  3.02E-02  1.92E-02  9.97E-03  4.72E-02  2.21E-02  1.34E-04  1.87E-04  9.13E-06  5.82E-06  1.58E-02  9.56E-03
  2.0   0.65  0.5142  0.1188  1603.   326.  4.59E-02  2.99E-02  7.08E-01  1.33E-02  1.14E-03  3.80E-04  8.85E-02  2.12E-02  3.38E-02  2.95E-02  3.05E-02  1.11E-02  9.14E-02  2.48E-02  1.22E-03  7.92E-04  2.47E-05  9.55E-06  2.98E-02  9.60E-03
  2.0   0.72  0.3533  0.0439  1939.    92.  3.08E-02  7.29E-03  7.22E-01  1.21E-02  5.93E-04  3.24E-04  1.05E-01  7.79E-03  4.45E-03  7.18E-03  1.81E-02  8.35E-03  1.13E-01  9.21E-03  2.84E-03  5.60E-04  2.89E-05  4.60E-06  2.18E-02  6.60E-03
  2.0   0.79  0.2945  0.0172  1952.    44.  4.22E-02  6.91E-03  7.32E-01  9.85E-03  2.09E-04  1.87E-04  1.00E-01  6.25E-03  9.48E-04  1.23E-03  6.79E-03  4.74E-03  1.12E-01  6.43E-03  2.81E-03  2.63E-04  2.33E-05  3.31E-06  9.05E-03  2.96E-03
  2.0   0.93  0.2636  0.0128  1860.    54.  5.50E-02  7.06E-03  7.37E-01  9.54E-03  5.63E-05  1.20E-04  9.13E-02  5.80E-03  5.41E-04  9.28E-04  1.19E-03  3.49E-03  1.12E-01  6.52E-03  1.64E-03  2.14E-04  1.61E-05  2.13E-06  2.44E-03  9.15E-04
  2.0   1.07  0.2314  0.0249  1689.   120.  7.60E-02  1.64E-02  7.40E-01  9.23E-03  1.31E-05  1.11E-04  8.12E-02  8.53E-03  3.35E-04  7.89E-04  0.00E+00  3.22E-03  1.01E-01  1.08E-02  9.38E-04  2.75E-04  1.24E-05  2.62E-06  1.16E-03  6.83E-04
  2.0   1.21  0.1583  0.0538  1297.   274.  1.27E-01  3.78E-02  7.45E-01  8.81E-03  2.00E-05  7.56E-05  5.84E-02  1.67E-02  8.00E-05  4.57E-04  8.34E-05  2.44E-03  6.90E-02  2.47E-02  3.26E-04  2.96E-04  7.66E-06  3.27E-06  6.80E-04  4.28E-04
