# CREATED BY M. WILD: Concatenated from original data, added x/d column
# Sandia piloted CH4-air jet flame D (1997)
# Profile of Favre average mass fractions
# x/d    r/d    F       Frms    T(K)   Trms   YO2       YO2rms    YN2       YN2rms    YH2       YH2rms    YH2O      YH2Orms   YCH4      YCH4rms   YCO       YCOrms    YCO2      YCO2rms   YOH       YOHrms    YNO       YNOrms    YCOLIF    YCOrms
  7.5   1.67  0.0254  0.0285   479.   202.  2.14E-01  1.93E-02  7.61E-01  6.16E-03  1.55E-05  2.08E-05  1.53E-02  9.41E-03  1.92E-05  1.18E-04  0.00E+00  8.91E-04  1.02E-02  1.27E-02  1.99E-06  1.13E-05  1.23E-06  1.56E-06  7.35E-05  1.03E-04
  7.5   1.94  0.0077  0.0145   354.   107.  2.25E-01  1.06E-02  7.63E-01  4.54E-03  7.72E-06  1.04E-05  9.14E-03  4.85E-03  0.00E+00  7.94E-05  0.00E+00  5.60E-04  2.91E-03  6.49E-03  1.42E-07  2.85E-06  3.45E-07  6.56E-07  5.00E-05  5.97E-05
  7.5   2.22  0.0000  0.0015   295.    10.  2.29E-01  4.16E-03  7.64E-01  4.11E-03  4.70E-06  6.05E-06  6.28E-03  7.16E-04  0.00E+00  5.85E-05  0.00E+00  3.51E-04  0.00E+00  5.16E-04  1.39E-08  1.25E-07  1.05E-07  1.28E-07  2.78E-05  4.19E-05
 15.0  -0.56  0.7973  0.1014   808.   282.  1.41E-01  3.53E-02  6.70E-01  1.41E-02  1.08E-03  5.70E-04  3.66E-02  2.12E-02  1.05E-01  2.64E-02  1.62E-02  1.10E-02  3.14E-02  1.86E-02  3.10E-05  1.40E-04  7.91E-06  6.34E-06  1.52E-02  9.84E-03
 15.0  -0.28  0.8739  0.0702   563.   175.  1.68E-01  2.16E-02  6.63E-01  1.00E-02  5.49E-04  3.55E-04  1.91E-02  1.29E-02  1.26E-01  1.73E-02  7.43E-03  6.84E-03  1.62E-02  1.18E-02  6.13E-06  2.11E-05  3.38E-06  2.95E-06  7.49E-03  5.60E-03
 15.0   0.00  0.9199  0.0552   466.   120.  1.78E-01  1.45E-02  6.59E-01  8.53E-03  3.20E-04  2.42E-04  1.15E-02  8.44E-03  1.38E-01  1.24E-02  3.94E-03  4.57E-03  9.81E-03  7.63E-03  7.31E-07  9.78E-06  1.85E-06  1.78E-06  4.34E-03  3.47E-03
 15.0   0.28  0.9011  0.0624   541.   165.  1.69E-01  2.01E-02  6.62E-01  9.71E-03  4.77E-04  3.42E-04  1.64E-02  1.19E-02  1.32E-01  1.54E-02  6.65E-03  6.27E-03  1.41E-02  1.03E-02  4.85E-06  1.61E-05  2.70E-06  2.62E-06  6.37E-03  5.04E-03
 15.0   0.28  0.9018  0.0690   542.   174.  1.69E-01  2.08E-02  6.62E-01  1.04E-02  4.70E-04  3.38E-04  1.64E-02  1.24E-02  1.32E-01  1.67E-02  6.59E-03  6.30E-03  1.41E-02  1.06E-02  4.72E-06  1.68E-05  2.71E-06  2.84E-06  5.98E-03  5.11E-03
 15.0   0.56  0.8155  0.1040   810.   295.  1.39E-01  3.69E-02  6.72E-01  1.55E-02  1.01E-03  5.45E-04  3.57E-02  2.22E-02  1.08E-01  2.73E-02  1.58E-02  1.06E-02  2.97E-02  1.83E-02  4.26E-05  2.55E-04  7.42E-06  6.83E-06  1.41E-02  9.97E-03
 15.0   0.83  0.6638  0.1629  1225.   385.  9.27E-02  4.54E-02  6.90E-01  1.99E-02  1.58E-03  6.85E-04  6.60E-02  2.88E-02  6.89E-02  3.79E-02  2.65E-02  1.34E-02  5.49E-02  2.64E-02  3.23E-04  7.88E-04  1.77E-05  1.26E-05  2.59E-02  1.36E-02
 15.0   1.11  0.4170  0.1784  1560.   335.  6.74E-02  4.70E-02  7.16E-01  2.28E-02  1.29E-03  9.84E-04  8.68E-02  2.49E-02  2.19E-02  2.80E-02  2.61E-02  1.88E-02  7.86E-02  2.60E-02  1.12E-03  1.23E-03  2.98E-05  1.49E-05  2.70E-02  1.79E-02
 15.0   1.39  0.2209  0.1347  1382.   422.  1.07E-01  6.09E-02  7.38E-01  1.84E-02  4.37E-04  7.09E-04  6.90E-02  2.98E-02  3.28E-03  1.01E-02  1.09E-02  1.64E-02  6.98E-02  3.20E-02  1.12E-03  1.16E-03  2.56E-05  1.61E-05  1.13E-02  1.56E-02
 15.0   1.67  0.1073  0.0886   954.   450.  1.62E-01  5.51E-02  7.51E-01  1.24E-02  8.71E-05  2.12E-04  4.10E-02  2.70E-02  2.74E-04  1.04E-03  2.36E-03  6.57E-03  4.15E-02  3.24E-02  4.43E-04  8.44E-04  1.37E-05  1.39E-05  2.82E-03  6.90E-03
 15.0   1.94  0.0560  0.0578   671.   355.  1.92E-01  3.85E-02  7.58E-01  8.81E-03  2.65E-05  4.98E-05  2.49E-02  1.88E-02  0.00E+00  2.52E-04  4.51E-04  1.96E-03  2.34E-02  2.44E-02  1.07E-04  3.62E-04  7.10E-06  8.78E-06  6.53E-04  1.74E-03
 15.0   2.22  0.0290  0.0364   497.   243.  2.10E-01  2.49E-02  7.61E-01  6.62E-03  1.66E-05  2.78E-05  1.59E-02  1.19E-02  0.00E+00  1.51E-04  5.24E-05  1.10E-03  1.23E-02  1.59E-02  1.45E-05  9.38E-05  3.29E-06  4.81E-06  2.79E-04  5.37E-04
 15.0   2.50  0.0151  0.0250   404.   172.  2.19E-01  1.69E-02  7.63E-01  5.61E-03  9.40E-06  1.42E-05  1.14E-02  8.27E-03  0.00E+00  9.96E-05  0.00E+00  8.25E-04  6.62E-03  1.11E-02  3.73E-06  3.92E-05  1.65E-06  3.05E-06  1.30E-04  1.78E-04
 15.0   2.78  0.0047  0.0124   329.    86.  2.26E-01  9.35E-03  7.64E-01  4.60E-03  8.24E-06  1.13E-05  7.76E-03  4.08E-03  0.00E+00  7.96E-05  0.00E+00  5.37E-04  2.08E-03  5.52E-03  2.84E-07  2.39E-06  5.44E-07  1.16E-06  3.44E-05  8.90E-05
 15.0   3.06  0.0003  0.0040   299.    26.  2.28E-01  4.75E-03  7.65E-01  4.11E-03  5.83E-06  7.10E-06  6.31E-03  1.40E-03  0.00E+00  6.62E-05  0.00E+00  4.13E-04  1.82E-04  1.64E-03  1.29E-08  1.32E-07  1.37E-07  3.32E-07  3.86E-05  4.96E-05
 30.0  -0.83  0.5651  0.1526  1519.   325.  5.56E-02  4.13E-02  6.99E-01  2.15E-02  2.40E-03  1.07E-03  9.14E-02  2.52E-02  3.97E-02  3.10E-02  3.72E-02  1.76E-02  7.46E-02  2.37E-02  4.11E-04  8.60E-04  3.01E-05  1.62E-05  3.63E-02  1.63E-02
 30.0  -0.42  0.6572  0.1245  1328.   341.  7.65E-02  4.14E-02  6.90E-01  1.75E-02  2.28E-03  8.04E-04  7.72E-02  2.62E-02  6.11E-02  3.15E-02  3.47E-02  1.37E-02  6.02E-02  2.29E-02  1.98E-04  6.13E-04  2.27E-05  1.46E-05  3.28E-02  1.37E-02
 30.0   0.00  0.6817  0.1076  1262.   313.  8.35E-02  3.95E-02  6.88E-01  1.55E-02  2.23E-03  6.95E-04  7.23E-02  2.52E-02  6.74E-02  2.91E-02  3.30E-02  1.27E-02  5.57E-02  2.05E-02  1.02E-04  4.51E-04  1.95E-05  1.21E-05  3.11E-02  1.24E-02
 30.0   0.42  0.6589  0.1211  1325.   328.  7.63E-02  4.09E-02  6.90E-01  1.66E-02  2.31E-03  8.10E-04  7.70E-02  2.59E-02  6.13E-02  3.08E-02  3.45E-02  1.34E-02  6.01E-02  2.17E-02  1.62E-04  5.45E-04  2.13E-05  1.30E-05  3.31E-02  1.32E-02
 30.0   0.83  0.5763  0.1514  1512.   339.  5.76E-02  4.03E-02  6.99E-01  2.00E-02  2.37E-03  1.04E-03  9.01E-02  2.55E-02  4.23E-02  3.24E-02  3.74E-02  1.73E-02  7.19E-02  2.38E-02  4.68E-04  9.53E-04  2.93E-05  1.60E-05  3.65E-02  1.52E-02
 30.0   1.25  0.4577  0.1692  1661.   299.  4.89E-02  4.05E-02  7.11E-01  2.20E-02  1.93E-03  1.33E-03  9.75E-02  2.30E-02  2.17E-02  2.64E-02  3.29E-02  2.20E-02  8.48E-02  2.32E-02  9.49E-04  1.18E-03  3.71E-05  1.68E-05  3.32E-02  1.99E-02
 30.0   1.67  0.3071  0.1574  1630.   363.  6.95E-02  5.67E-02  7.28E-01  2.15E-02  9.63E-04  1.25E-03  8.85E-02  2.87E-02  5.94E-03  1.47E-02  1.99E-02  2.36E-02  8.57E-02  2.73E-02  1.26E-03  1.18E-03  4.14E-05  1.85E-05  1.97E-02  2.17E-02
 30.0   2.08  0.2067  0.1121  1450.   438.  1.01E-01  6.21E-02  7.41E-01  1.60E-02  3.09E-04  6.85E-04  7.21E-02  3.12E-02  3.55E-04  2.49E-03  7.85E-03  1.54E-02  7.65E-02  3.31E-02  1.08E-03  1.14E-03  3.73E-05  2.07E-05  8.13E-03  1.48E-02
 30.0   2.50  0.1439  0.0914  1184.   451.  1.37E-01  5.69E-02  7.48E-01  1.31E-02  8.75E-05  2.86E-04  5.34E-02  2.85E-02  1.12E-04  5.47E-04  2.53E-03  7.90E-03  5.87E-02  3.36E-02  5.92E-04  9.06E-04  2.65E-05  1.91E-05  2.63E-03  7.43E-03
 30.0   2.92  0.0933  0.0747   907.   408.  1.68E-01  4.79E-02  7.54E-01  1.12E-02  3.76E-05  1.33E-04  3.70E-02  2.38E-02  0.00E+00  3.44E-04  7.01E-04  4.28E-03  3.96E-02  2.99E-02  2.46E-04  6.07E-04  1.66E-05  1.60E-05  1.06E-03  4.19E-03
 30.0   3.33  0.0614  0.0577   710.   351.  1.89E-01  3.80E-02  7.58E-01  9.05E-03  2.28E-05  5.21E-05  2.63E-02  1.87E-02  6.75E-05  2.70E-04  7.44E-06  1.67E-03  2.66E-02  2.47E-02  8.73E-05  3.33E-04  1.03E-05  1.17E-05  3.20E-04  9.04E-04
 30.0   3.75  0.0440  0.0430   603.   280.  1.99E-01  2.88E-02  7.61E-01  7.95E-03  1.67E-05  3.03E-05  2.07E-02  1.41E-02  2.73E-06  1.76E-04  0.00E+00  1.32E-03  1.94E-02  1.91E-02  2.76E-05  1.45E-04  7.21E-06  8.51E-06  1.31E-04  2.52E-04
 30.0   4.17  0.0287  0.0342   498.   227.  2.09E-01  2.25E-02  7.62E-01  6.92E-03  1.39E-05  2.34E-05  1.56E-02  1.12E-02  5.08E-06  1.28E-04  0.00E+00  1.07E-03  1.27E-02  1.53E-02  8.60E-06  5.80E-05  4.47E-06  6.31E-06  9.33E-05  1.45E-04
 30.0   5.00  0.0089  0.0179   362.   125.  2.22E-01  1.26E-02  7.65E-01  4.91E-03  7.69E-06  1.24E-05  8.98E-03  5.84E-03  0.00E+00  8.48E-05  0.00E+00  6.04E-04  4.14E-03  8.07E-03  8.28E-07  6.18E-06  1.50E-06  2.74E-06  3.24E-05  6.65E-05
 30.0   5.83  0.0000  0.0043   299.    29.  2.28E-01  5.16E-03  7.66E-01  4.25E-03  4.99E-06  6.85E-06  6.02E-03  1.44E-03  0.00E+00  6.70E-05  0.00E+00  3.86E-04  2.23E-04  1.89E-03  0.00E+00  1.35E-07  2.82E-07  5.35E-07  6.52E-06  3.90E-05
 45.0  -1.11  0.3187  0.1019  1852.   243.  3.89E-02  4.30E-02  7.31E-01  1.63E-02  1.02E-03  1.39E-03  1.04E-01  2.28E-02  7.35E-04  2.32E-03  2.31E-02  2.72E-02  1.02E-01  1.99E-02  1.47E-03  1.04E-03  5.71E-05  1.73E-05  2.18E-02  2.43E-02
 45.0  -0.56  0.3647  0.0950  1919.   178.  2.43E-02  3.29E-02  7.24E-01  1.57E-02  1.53E-03  1.51E-03  1.12E-01  1.76E-02  2.10E-03  4.80E-03  3.23E-02  2.75E-02  1.05E-01  1.63E-02  1.48E-03  1.08E-03  6.05E-05  1.71E-05  3.00E-02  2.43E-02
 45.0   0.00  0.3806  0.1026  1922.   171.  2.12E-02  3.16E-02  7.22E-01  1.65E-02  1.77E-03  1.68E-03  1.14E-01  1.72E-02  2.92E-03  6.33E-03  3.44E-02  2.76E-02  1.03E-01  1.62E-02  1.31E-03  1.04E-03  5.92E-05  1.85E-05  3.37E-02  2.45E-02
 45.0   0.56  0.3647  0.1015  1911.   197.  2.49E-02  3.61E-02  7.25E-01  1.63E-02  1.58E-03  1.61E-03  1.11E-01  1.93E-02  2.20E-03  4.54E-03  3.20E-02  2.83E-02  1.03E-01  1.77E-02  1.36E-03  1.06E-03  5.90E-05  1.82E-05  3.09E-02  2.50E-02
 45.0   1.11  0.3248  0.1048  1851.   256.  3.94E-02  4.48E-02  7.28E-01  1.66E-02  1.05E-03  1.35E-03  1.03E-01  2.31E-02  1.26E-03  3.18E-03  2.29E-02  2.58E-02  1.03E-01  2.07E-02  1.42E-03  9.88E-04  5.94E-05  1.87E-05  2.27E-02  2.36E-02
 45.0   1.67  0.2755  0.1071  1730.   342.  6.03E-02  5.39E-02  7.34E-01  1.62E-02  6.24E-04  1.05E-03  9.24E-02  2.75E-02  2.09E-04  1.67E-03  1.52E-02  2.25E-02  9.62E-02  2.63E-02  1.31E-03  1.02E-03  5.45E-05  2.04E-05  1.52E-02  2.07E-02
 45.0   2.22  0.2181  0.1067  1521.   417.  9.21E-02  5.99E-02  7.40E-01  1.55E-02  3.07E-04  7.16E-04  7.61E-02  3.06E-02  1.72E-04  8.87E-04  7.75E-03  1.63E-02  8.28E-02  3.18E-02  9.77E-04  1.00E-03  4.50E-05  2.24E-05  7.90E-03  1.54E-02
 45.0   2.78  0.1683  0.0898  1319.   415.  1.20E-01  5.54E-02  7.46E-01  1.30E-02  1.05E-04  3.60E-04  6.15E-02  2.77E-02  1.37E-04  6.55E-04  2.94E-03  9.12E-03  6.90E-02  3.20E-02  5.88E-04  8.26E-04  3.51E-05  2.10E-05  2.72E-03  8.22E-03
 45.0   3.33  0.1189  0.0759  1061.   405.  1.51E-01  4.87E-02  7.52E-01  1.10E-02  4.11E-05  1.57E-04  4.54E-02  2.44E-02  8.70E-05  4.45E-04  6.48E-04  4.59E-03  5.07E-02  3.04E-02  2.77E-04  5.73E-04  2.41E-05  1.83E-05  8.60E-04  3.94E-03
 45.0   3.89  0.0861  0.0660   866.   383.  1.72E-01  4.33E-02  7.55E-01  1.01E-02  2.12E-05  5.92E-05  3.46E-02  2.18E-02  3.85E-05  3.38E-04  7.41E-05  2.28E-03  3.75E-02  2.79E-02  1.33E-04  4.10E-04  1.65E-05  1.57E-05  3.66E-04  1.30E-03
 45.0   4.44  0.0640  0.0539   735.   328.  1.86E-01  3.59E-02  7.58E-01  8.86E-03  1.38E-05  4.04E-05  2.74E-02  1.77E-02  0.00E+00  2.46E-04  8.75E-05  1.84E-03  2.83E-02  2.35E-02  6.38E-05  2.57E-04  1.18E-05  1.25E-05  1.77E-04  8.90E-04
 45.0   5.56  0.0331  0.0362   528.   237.  2.06E-01  2.39E-02  7.62E-01  7.14E-03  1.27E-05  2.46E-05  1.69E-02  1.18E-02  3.22E-06  1.55E-04  0.00E+00  1.08E-03  1.49E-02  1.62E-02  1.08E-05  8.80E-05  5.53E-06  7.12E-06  7.34E-05  2.01E-04
 45.0   6.67  0.0136  0.0220   395.   153.  2.19E-01  1.50E-02  7.65E-01  5.19E-03  1.16E-05  1.56E-05  1.05E-02  7.12E-03  0.00E+00  9.33E-05  0.00E+00  7.24E-04  6.32E-03  1.00E-02  1.14E-06  8.03E-06  2.13E-06  3.76E-06  2.50E-05  6.53E-05
 45.0   7.78  0.0030  0.0097   321.    68.  2.25E-01  7.50E-03  7.66E-01  4.38E-03  6.28E-06  7.92E-06  6.97E-03  3.09E-03  0.00E+00  6.97E-05  0.00E+00  4.90E-04  1.66E-03  4.44E-03  8.99E-08  1.31E-06  5.94E-07  1.30E-06  1.21E-05  4.32E-05
 60.0  -1.39  0.1820  0.0613  1432.   301.  1.07E-01  4.05E-02  7.46E-01  1.07E-02  1.70E-05  1.03E-04  6.76E-02  2.02E-02  0.00E+00  6.52E-04  3.00E-04  3.11E-03  7.87E-02  2.57E-02  4.30E-04  5.61E-04  3.99E-05  1.67E-05  6.15E-04  1.70E-03
 60.0  -0.69  0.2011  0.0623  1517.   297.  9.62E-02  3.99E-02  7.43E-01  1.12E-02  1.96E-05  1.14E-04  7.31E-02  1.98E-02  3.29E-04  7.06E-04  6.17E-04  3.51E-03  8.57E-02  2.55E-02  5.59E-04  6.31E-04  4.45E-05  1.77E-05  7.70E-04  2.09E-03
 60.0   0.00  0.2067  0.0638  1543.   300.  9.18E-02  4.12E-02  7.43E-01  1.10E-02  3.18E-05  1.24E-04  7.52E-02  2.05E-02  1.78E-04  7.14E-04  7.40E-04  3.80E-03  8.81E-02  2.57E-02  6.17E-04  6.47E-04  4.59E-05  1.74E-05  1.02E-03  2.78E-03
 60.0   0.69  0.1998  0.0660  1503.   315.  9.75E-02  4.27E-02  7.43E-01  1.13E-02  2.44E-05  1.16E-04  7.27E-02  2.10E-02  2.34E-04  6.83E-04  5.71E-04  3.78E-03  8.53E-02  2.71E-02  5.63E-04  6.23E-04  4.40E-05  1.74E-05  9.06E-04  2.48E-03
 60.0   1.39  0.1800  0.0665  1414.   338.  1.09E-01  4.41E-02  7.46E-01  1.11E-02  1.24E-05  9.85E-05  6.64E-02  2.19E-02  4.75E-05  6.17E-04  1.16E-04  3.26E-03  7.78E-02  2.79E-02  4.38E-04  5.53E-04  4.03E-05  1.86E-05  6.67E-04  1.94E-03
 60.0   2.08  0.1681  0.0663  1352.   341.  1.17E-01  4.38E-02  7.47E-01  1.07E-02  1.51E-05  9.03E-05  6.26E-02  2.19E-02  4.65E-05  5.84E-04  4.70E-04  2.87E-03  7.27E-02  2.79E-02  3.63E-04  5.16E-04  3.68E-05  1.80E-05  4.70E-04  1.48E-03
 60.0   2.78  0.1418  0.0641  1205.   345.  1.35E-01  4.23E-02  7.50E-01  1.04E-02  1.64E-05  7.65E-05  5.35E-02  2.13E-02  1.46E-04  4.49E-04  1.03E-04  2.65E-03  6.13E-02  2.72E-02  2.09E-04  3.93E-04  2.99E-05  1.71E-05  2.46E-04  1.09E-03
 60.0   3.47  0.1118  0.0600  1036.   345.  1.54E-01  4.05E-02  7.53E-01  9.53E-03  1.80E-05  6.32E-05  4.36E-02  2.03E-02  0.00E+00  3.69E-04  1.02E-04  2.21E-03  4.91E-02  2.59E-02  1.16E-04  2.75E-04  2.24E-05  1.54E-05  1.62E-04  6.88E-04
 60.0   4.17  0.0931  0.0538   920.   321.  1.67E-01  3.63E-02  7.55E-01  8.71E-03  1.46E-05  5.20E-05  3.68E-02  1.79E-02  1.58E-05  3.09E-04  0.00E+00  1.96E-03  4.13E-02  2.36E-02  5.98E-05  1.56E-04  1.76E-05  1.30E-05  1.16E-04  2.63E-04
 60.0   5.56  0.0541  0.0415   668.   268.  1.93E-01  2.75E-02  7.59E-01  7.92E-03  1.71E-05  3.27E-05  2.40E-02  1.38E-02  4.99E-06  1.94E-04  0.00E+00  1.37E-03  2.41E-02  1.85E-02  1.21E-05  5.77E-05  9.29E-06  9.06E-06  4.16E-05  1.31E-04
 60.0   6.94  0.0280  0.0288   497.   197.  2.09E-01  1.94E-02  7.63E-01  6.21E-03  1.08E-05  2.09E-05  1.55E-02  9.41E-03  0.00E+00  1.21E-04  0.00E+00  9.53E-04  1.27E-02  1.31E-02  2.06E-06  2.31E-05  4.48E-06  5.31E-06  3.59E-05  8.15E-05
 60.0   8.33  0.0149  0.0205   401.   142.  2.17E-01  1.40E-02  7.65E-01  5.62E-03  1.08E-05  1.42E-05  1.10E-02  6.61E-03  0.00E+00  9.48E-05  0.00E+00  7.44E-04  6.74E-03  9.32E-03  7.22E-07  4.66E-06  2.30E-06  3.46E-06  7.76E-06  6.31E-05
 60.0   9.72  0.0048  0.0124   334.    87.  2.24E-01  9.31E-03  7.66E-01  4.46E-03  6.40E-06  9.26E-06  7.79E-03  4.03E-03  0.00E+00  7.72E-05  0.00E+00  5.31E-04  2.37E-03  5.68E-03  1.59E-07  1.55E-06  8.54E-07  1.74E-06  3.00E-05  4.99E-05
