 # CREATED BY M. WILD: Concatenated from original data, added X/D column
 # flame name      : Sandia Piloted CH4/AIR JET FLAME D
 # institute       : Energie- und Kraftwerkstechnik, TU Darmstadt, Germany
 # data            : 2d-LDA measurements
 # fuel  mixture   : 25% methane/ 75% air
 # pilot mixture   : a premixture of C2H2, H2, air, CO2 and N2
 # diameter        : d_nozzle = 0.0072 m, d_i_pilot = 0 .0077 m, d_a_pilot  = 0.0182 m
 # bulk velocity   : U_fuel = 49.6 m/s
 # Reynolds number : Re_fuel = 22400
 # data rows       : 22
 # data columns    : 5
 # X/D[-]       R/D[-]           <U>[m/s]         <u`u`>[m2/s2]    <V>[m/s]         <v`v`>[m2/s2]    <u`v`>[m2/s2]
 7.50000000     0.69444440      39.99125000      43.77120459       1.39042100      13.86298523      11.76127000
 7.50000000     0.83333330      31.66678000      50.35138525       1.81798500      14.63437374      14.76033000
 7.50000000     0.97222220      23.42735000      51.38766465       1.89305700      13.47203436      15.89396000
 7.50000000     1.11111100      11.74727000      30.22937852      -0.00747140       6.76456117       8.87753400
 7.50000000     1.25000000       6.14897800       8.05521463      -0.24371270       1.85655613       1.54632300
 7.50000000     1.38888900       4.28561600       3.31855810      -0.11104630       0.67559490       0.56309330
 7.50000000     1.52777800       2.75680700       1.70423626      -0.04698620       0.38211227       0.38597320
 7.50000000     1.66666700       1.89036100       1.13132792      -0.00500740       0.24226911       0.28622040
 7.50000000     1.94444400       1.30952200       0.70326170       0.10223080       0.21972047       0.21740120
 7.50000000     2.22222200       0.85214270       0.43538830       0.02147960       0.15428391       0.14150280
15.00000000     0.00000000      55.82720000      20.13153577      -0.14638300       9.46935063       0.60099400
15.00000000     0.27777780      49.37780000      36.12809374       0.31480170      14.88397110       6.69525700
15.00000000     0.55555560      39.87162000      58.60703240       1.05553700      21.29536380      16.09762000
15.00000000     0.83333330      24.69365000      96.27410769       1.72405700      25.34808326      28.64261000
15.00000000     1.11111100      15.13717000      69.65614999       2.67963900      18.56315502      22.99952000
15.00000000     1.38888900       7.35599400      27.11974351       3.01491700       9.59368853       9.95227900
15.00000000     1.66666700       4.65538300      13.24966552       1.93439700       6.61428897       9.17970200
15.00000000     1.94444400       2.73999200       4.18101892      -0.09282600       3.52045666       2.60946600
15.00000000     2.22222200       2.02405500       2.01625232       0.05495200       1.91436833       1.48608700
15.00000000     2.50000000       1.46868100       1.04112637       0.10379970       1.28653214       0.78538400
15.00000000     2.77777800       1.08276000       0.77578274       0.00545590       0.76556813       0.37247240
30.00000000     0.00000000      34.49011000      51.21350276       0.36268400      23.16314010      -0.74655200
30.00000000     0.41666670      33.93087000      57.13099784       1.15185600      24.86145249       3.48963300
30.00000000     0.83333330      31.36622000      60.34160650       1.90275600      24.43090607       9.92417000
30.00000000     1.25000000      26.78588000      61.40905525       2.22814700      25.81608339      16.53181000
30.00000000     1.66666700      22.86599000      61.48325695       2.68320000      24.85180028      17.27427000
30.00000000     2.08333300      17.27387000      54.45212037       2.45629100      23.37467219      19.04545000
30.00000000     2.50000000      12.25486000      40.79315585       2.22795500      21.15997240      18.37929000
30.00000000     2.91666700       8.14849200      23.50974623       1.57091600      15.99447248      12.99854000
30.00000000     3.33333300       6.69796400      15.87294126       1.12990700      12.69699999      10.70464000
30.00000000     3.75000000       4.11804900       8.60424889       0.92774300       8.40647977       6.18196900
30.00000000     4.58333300       2.69423300       3.47068330       0.52761500       3.83495064       1.85756900
30.00000000     5.41666700       1.48130500       1.54524043       0.49073300       2.86308058       0.35027500
30.00000000     6.52777800       0.39261780       0.36777348       0.44827200       0.68278161       0.98829600
45.00000000     0.00000000      22.50500000      41.06442487       0.19360300      18.32150741       0.12842400
45.00000000     0.55555560      21.86039000      42.66114540       0.78961500      18.62215068       2.46872300
45.00000000     1.11111100      20.57195000      40.91990742       1.26625300      19.15696474       6.07688800
45.00000000     1.66666700      18.91093000      41.94391239       1.66411400      18.99728935       8.12926600
45.00000000     2.22222200      15.73026000      37.57987924       1.50961600      18.44760053      11.47398000
45.00000000     2.77777800      12.23853000      31.55462102       1.20506100      16.53967561      12.66312000
45.00000000     3.33333300       9.73378500      23.58158095       1.02225200      14.87066406      11.11073000
45.00000000     3.88888900       7.68242900      17.78701946       1.02115800      12.00147149       9.47930800
45.00000000     4.44444400       6.98779900      13.03286533       1.15492600      11.22536778       8.00166400
45.00000000     5.00000000       5.24934400       8.46865873       0.68885200       8.44151186       5.91398100
45.00000000     5.55555600       4.33677700       7.84468230       0.74256500       6.60990731       4.47034000
45.00000000     6.11111100       3.17948100       4.79915335       0.46228300       4.81835865       2.92511600
45.00000000     6.66666700       2.23897700       3.07341220       0.10429800       3.25577997       2.28746700
45.00000000     7.22222200       1.25580200       1.21846495       0.10791100       1.11428714       0.39340300
45.00000000     7.77777800       1.17176400       1.43759381       0.11929700       1.09599961       0.86159200
60.00000000     0.00000000      13.69926000      18.88177114       0.06451990       9.24299845      -0.10444770
60.00000000     0.69444440      13.64711000      18.10728873       0.26286330       9.26087756       1.62943400
60.00000000     1.38888900      13.41008000      19.29854565       0.61667340       9.33568915       2.43033500
60.00000000     2.08333300      12.65974000      17.20132491       0.66980160       9.47021843       3.81395800
60.00000000     2.77777800      11.03868000      15.86887775       0.69095500       8.77076063       4.34339700
60.00000000     3.47222200       9.02453600      14.12835943       0.52816780       7.59936181       4.67433500
60.00000000     4.16666700       7.98363400      10.45670574       0.48113480       7.05584469       4.26282900
60.00000000     4.86111100       6.78622500       9.62496642       0.36840430       5.72330981       4.27537900
60.00000000     5.55555600       6.08719800       7.54920685       0.54322810       5.03748398       3.16059600
60.00000000     6.25000000       5.00620900       5.78279852       0.42824920       4.00438520       2.55532300
60.00000000     6.94444400       4.49292100       4.83377161       0.45737640       3.31676216       2.48960400
60.00000000     8.33333300       3.10695600       2.92106383       0.28937080       2.18738480       1.62744500
60.00000000     9.72222200       2.42603400       2.06238608       0.24180330       1.49465540       1.04040500
