B4C1 Bluff-Body C2H4 Cold Flows, Mixture Fractions        
File Name =   b4c1a.dat
MODIFIED BY M. WILD, 2012-12-19: Reformated to add x column and removed sectioning

Axial(mm) Radial(mm)     Mean      RMS 

    20.80     20.20     0.115     0.024
    20.80     20.80     0.105     0.032
    20.80     21.40     0.090     0.036
    20.80     22.00     0.066     0.036
    20.80     22.60     0.052     0.028
    20.80     23.20     0.024     0.024
    20.80     23.80     0.019     0.016
    20.80     24.40     0.003     0.008
    20.80     25.00     0.001     0.000
    20.80     25.60     0.001     0.000
    20.80     26.20     0.001     0.000
    21.50    -29.00     0.002     0.000
    21.50    -28.40     0.004     0.004
    21.50    -27.80     0.002     0.000
    21.50    -27.20     0.000     0.000
    21.50    -26.60     0.002     0.004
    21.50    -26.00     0.002     0.004
    21.50    -25.40     0.004     0.004
    21.50    -24.80     0.011     0.008
    21.50    -24.20     0.020     0.012
    21.50    -23.60     0.030     0.016
    21.50    -23.00     0.035     0.024
    21.50    -22.40     0.062     0.024
    21.50    -21.80     0.067     0.020
    21.50    -21.20     0.095     0.028
    21.50    -20.60     0.085     0.028
    21.50    -20.00     0.100     0.024
    21.50    -19.40     0.106     0.024
    21.50    -18.80     0.104     0.028
    21.50    -18.20     0.091     0.024
    21.50    -17.60     0.101     0.024
    21.50    -17.00     0.094     0.024
    21.50    -16.40     0.111     0.024
    21.50    -15.80     0.101     0.032
    21.50    -15.20     0.112     0.036
    21.50    -14.60     0.100     0.036
    21.50    -14.00     0.111     0.036
    21.50    -13.40     0.106     0.040
    21.50    -12.80     0.110     0.040
    21.50    -12.20     0.113     0.040
    21.50    -11.60     0.131     0.036
    21.50    -11.00     0.126     0.036
    21.50    -10.40     0.135     0.036
    21.50     -9.80     0.134     0.036
    21.50     -9.20     0.127     0.032
    21.50     -8.60     0.137     0.036
    21.50     -8.00     0.157     0.040
    21.50     -7.40     0.169     0.040
    21.50     -6.80     0.174     0.044
    21.50     -6.20     0.188     0.056
    21.50     -5.60     0.192     0.056
    21.50     -5.00     0.199     0.052
    21.50     -4.40     0.253     0.072
    21.50     -3.80     0.272     0.072
    21.50     -3.20     0.350     0.092
    21.50     -2.60     0.416     0.092
    21.50     -2.00     0.517     0.100
    21.50     -1.40     0.624     0.144
    21.50     -0.80     0.702     0.148
    21.50     -0.20     0.792     0.120
    21.50      0.40     0.819     0.128
    21.50      1.00     0.717     0.128
    21.50      1.60     0.685     0.116
    21.50      2.20     0.600     0.108
    21.50      2.80     0.490     0.104
    21.50      3.40     0.457     0.092
    21.50      4.00     0.367     0.076
    21.50      4.60     0.317     0.072
    21.50      5.20     0.241     0.068
    21.50      5.80     0.216     0.060
    21.50      6.40     0.197     0.056
    21.50      7.00     0.175     0.044
    21.50      7.60     0.184     0.036
    21.50      8.20     0.176     0.040
    21.50      8.80     0.172     0.036
    21.50      9.40     0.174     0.040
    21.50     10.00     0.165     0.032
    21.50     10.60     0.164     0.040
    21.50     11.20     0.157     0.036
    21.50     11.80     0.157     0.040
    21.50     12.40     0.156     0.036
    21.50     13.00     0.146     0.036
    21.50     13.60     0.141     0.032
    21.50     14.20     0.141     0.028
    21.50     14.80     0.155     0.028
    21.50     15.40     0.139     0.032
    21.50     16.00     0.142     0.032
    21.50     16.60     0.134     0.028
    21.50     17.20     0.133     0.036
    21.50     17.80     0.130     0.024
    21.50     18.40     0.121     0.024
    21.50     19.00     0.128     0.028
    21.50     19.60     0.121     0.024
    21.50     20.20     0.111     0.032
    21.50     20.80     0.110     0.032
    21.50     21.40     0.090     0.036
    21.50     22.00     0.070     0.032
    21.50     22.60     0.038     0.024
    21.50     23.20     0.026     0.024
    21.50     23.80     0.016     0.016
    21.50     24.40     0.006     0.008
    21.50     25.00     0.002     0.004
    21.50     25.60     0.001     0.000
    21.50     26.20     0.001     0.000
    22.30    -29.00     0.001     0.004
    22.30    -28.40     0.002     0.004
    22.30    -27.80     0.001     0.000
    22.30    -27.20     0.002     0.004
    22.30    -26.60     0.001     0.004
    22.30    -26.00     0.001     0.000
    22.30    -25.40     0.004     0.004
